time,prediction,prediction_tau,idle,transmit
0,16,11,-0.00554927,0.0025788
0,16,12,-0.0024199,0.0138061
0,16,13,-0.00101728,0.00999733
0,16,14,-0.00080006,-0.00435793
0,16,15,0,0
0,16,16,-0.000510428,0.00999408
0,16,17,0.00023872,-0.00317867
0,16,18,0.000944736,0.0102446
0,16,19,0.0006865,-0.00431847
0,16,20,0.00172022,-0.00951888
0,16,21,0,0
0,16,22,0.00155059,0.00606693
0,16,23,0.00177843,0.0011336
0,16,24,0,0
0,16,25,0,0
0,16,26,0.00243355,0.0150885
0,16,27,0,0
0,16,28,0,0
0,16,29,0,0
0,16,30,0.00357963,0.00107767
0,17,0,0,0
0,17,1,0,0
0,17,2,0,0
0,17,3,0,0
0,17,4,-0.00323956,0.0162397
0,17,5,-0.00597477,0.00116635
0,17,6,-0.00285942,-0.0023384
0,17,7,0,0
0,17,8,-0.00232668,0.00709407
0,17,9,0,0
0,17,10,-0.00331602,0.0199249
0,17,11,-0.00159653,0.0052232
0,17,12,-0.00125083,0.00742667
0,17,13,-0.00105683,0.0186911
0,17,14,-0.00159873,0.0133685
0,17,15,0,0
0,17,16,-0.00012968,0.014568
0,17,17,0.000141127,0.0084678
0,17,18,0.000669633,0.0260801
0,17,19,0.000983606,-0.00272054
0,17,20,0.00244327,0.0175429
0,17,21,0.00406694,0.0368117
0,17,22,0.00382597,0.018577
0,17,23,0.00294871,0.0118548
0,17,24,0.00200043,-0.00109307
0,17,25,0,0
0,17,26,0,0
0,17,27,0.00264525,-0.0116413
0,17,28,0,0
0,17,29,0.00325845,0.00187493
0,17,30,0,0
0,18,0,0,0
0,18,1,0,0
0,18,2,0,0
0,18,3,0,0
0,18,4,0,0
0,18,5,-0.00314858,0.0188728
0,18,6,-0.00291537,0.0052104
0,18,7,-0.00270339,0.0053208
0,18,8,0,0
0,18,9,-0.0019837,0.0253256
0,18,10,0,0
0,18,11,-0.00147377,0.00985887
0,18,12,-0.0012696,0.022268
0,18,13,-0.00336103,0.0260264
0,18,14,-0.00139485,0.025139
0,18,15,-0.00141228,0.0251609
0,18,16,-0.00027176,0.0207448
0,18,17,4.02861e-05,0.0167404
0,18,18,0.000985414,0.0397541
0,18,19,0.00187733,0.0279734
0,18,20,0.00352051,0.0466106
0,18,21,0.00126216,0.00606293
0,18,22,0.00695915,0.0403446
0,18,23,0.00446551,0.0400442
0,18,24,0.00801119,0.0729548
0,18,25,0.00211827,0.00725947
0,18,26,0.00445772,0.0167167
0,18,27,0.0113416,0.0693489
0,18,28,0,0
0,18,29,0,0
0,18,30,0.00986751,0.00762063
0,19,0,0,0
0,19,1,0,0
0,19,2,0,0
0,19,3,0,0
0,19,4,0,0
0,19,5,-0.00310376,0.0133555
0,19,6,0,0
0,19,7,-0.0025036,0.0203845
0,19,8,0,0
0,19,9,-0.00403662,0.0204789
0,19,10,0,0
0,19,11,0,0
0,19,12,0,0
0,19,13,0,0
0,19,14,-0.000696953,-0.00317033
0,19,15,0,0
